STRONGS of xyz file 
file_name 	 STRONGS 
pore1.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore10.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore100.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1000.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore10000.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1001.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1002.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1003.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1004.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1005.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1006.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1007.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1008.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1009.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore101.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1010.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1011.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1012.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1013.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1014.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1015.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1016.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1017.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1018.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1019.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore102.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1020.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1021.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1022.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1023.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1024.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1025.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1026.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1027.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1028.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1029.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore103.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1030.xyz.xyz 	 FFZFFFZFZFFZFFFZFZ 
pore1031.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore1032.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1033.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1034.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1035.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1036.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1037.xyz.xyz 	 FFFZFFZFFZFFZFFFAA 
pore1038.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1039.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore104.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1040.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
pore1041.xyz.xyz 	 FFFZFZFFZFFFZFZFFZ 
pore1042.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1043.xyz.xyz 	 FFFZFZFFFZFZFFFZFZ 
pore1044.xyz.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore1045.xyz.xyz 	 FFZFFZFFZFFZFFFAAF 
pore1046.xyz.xyz 	 FFZFFZFZFFFZFFZFZF 
pore1047.xyz.xyz 	 FFFZFFZFZFFFZFFZFZ 
pore1048.xyz.xyz 	 FFZFFZFFZFFFAAFFFZ 
pore1049.xyz.xyz 	 FFZFZFFFZFZFFFZFZF 
pore105.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1050.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1051.xyz.xyz 	 FFZFFFAAFFFZFFZFFZ 
pore1052.xyz.xyz 	 FFFAAFFFZFFZFFZFFZ 
pore1053.xyz.xyz 	 FFZFZFFZFFFZFZFFZF 
pore1054.xyz.xyz 	 FFZFFZFFFAAFFFZFFZ 
