pore_number,pore_N,Canonical_STRONGs,formation_time,formation_probability,formation_energy
1,4,AAFFFZFFZFFZFFZFFF,78.229,0.4019,447.73
2,4,FFFZFZFFFZFZFFFZFZ,78.229,0.204,505.69
3,4,FFFZFFZFZFFFZFFZFZ,78.229,0.3941,497.06
4,5,FFFSFFZFFZFFZFFZFFZ,93.917,0.1483,524.30
5,5,AAFFFZFFZFZFFFZFZFFF,94.874,0.4543,541.82
6,5,AAFFFZFFZFFZFZFFFZFF,94.874,0.2652,533.75
7,5,FFFZFFZFZFFZFFFZFZFZ,94.874,0.1322,583.55
8,6,FFZFFZFFZFFZFFZFFZ,93.917,0.1516,480.90
9,6,AAFFFAAFFFZFFZFZFFZFFF,109.14,0.0831,578.80
10,6,AAFFFZFZFFFZFZFZFFFZFF,107.48,0.133,627.01
11,6,AAFFFZFZFFFAAFFFZFZFFF,108.43,0.0624,588.82
12,6,FFFZFFZFZFZFFFZFFZFZFZ,109.14,0.0386,668.62
13,6,AAFFFZFFAAFFFZFFZFZFFF,108.43,0.1591,579.49
14,6,FFFSFZFFFZFZFFZFFZFFZ,107.48,0.0377,607.42
15,6,AAFFFZFFZFFAAFFFZFFZFF,108.43,0.0353,570.62
16,6,FFFSFFZFFZFFZFZFFFZFZ,107.48,0.1204,616.90
17,6,AAFFFZFFZFFZFZFFZFFFZF,109.14,0.0691,614.93
18,6,FFFSFFZFFZFZFFFZFZFFZ,108.43,0.0734,616.84
19,6,AAFFZFFFZFZFFZFZFFFZFF,107.48,0.0363,619.75
20,7,FFFZFZFFZFFZFFZFFZFZ,107.48,0.381,577.29
21,7,AAFFFZFZFFFSFFZFFZFZFFF,119.87,0.0569,661.48
22,7,AAFFFZFFZFZFFZFFFSFFZFF,119.87,0.0435,653.21
23,7,AAFFFAAFFFZFFAAFFFZFZFFF,119.87,0.0835,626.33
24,7,AAFFFZFFZFZFFFAAFFZFFFZF,120.37,0.0418,661.91
25,7,AAFFFZFFZFFAAFFFZFZFFFZF,120.37,0.0363,662.43
26,7,AAFFFZFFZFZFFFSFFZFFZFF,118.91,0.0315,653.74
27,7,AAFFFZFFAAFFZFFFZFZFZFFF,120.37,0.044,664.57
28,7,AAFFFZFFSFFZFFZFFZFZFFF,119.87,0.0207,651.41
29,7,FFFSFZFFFZFZFFZFZFFFZFZ,119.41,0.0113,701.45
30,7,AAFFFSFFZFFZFFZFZFFZFFF,119.87,0.0331,652.45
31,7,AAFFFZFFZFFAAFFZFFFZFZFF,118.91,0.0155,656.87
32,7,FFFZFFZFZFZFFZFFFZFZFZFZ,121.62,0.0094,750.50
33,7,AAFFFAAFFFZFFZFZFZFFFZFF,119.87,0.0414,664.49
34,7,AAFFFZFFZFFSFFZFFZFFZFF,118.91,0.0101,642.58
35,7,FFFSFZFFFZFZFZFFFZFZFFZ,121.08,0.0212,700.86
36,7,AAFFFZFFAAFFFZFFAAFFFZFF,118.91,0.0187,618.60
37,7,AAFFFZFZFFFZFZFZFFZFFFZF,119.41,0.0333,708.31
38,7,FFFSFFZFZFFFZFZFZFFFZFZ,119.41,0.0195,709.99
39,7,FFFSZFFFZFFZFZFFZFFZFFZ,121.08,0.0093,691.96
40,7,AAFFZFFFZFZFFZFZFFZFFFZF,119.41,0.0142,700.56
41,7,AAFFFZFFZFFZFZFZFFFZFFZF,120.37,0.0159,699.41
42,7,ACAFFFZFFZFFZFZFFZFFZFFF,121.08,0.0079,661.11
43,8,AAFFFZFFZFZFFZFFZFFZFF,119.87,0.2388,610.26
44,8,AAFFFZFZFFZFFFACAFFFZFFZFF,131.54,0.0083,708.77
45,8,FFFZFZFFZFZFFFZFZFFZFZ,120.37,0.0646,668.78
46,8,FFFZFZFFZFFZFZFFFZFZFZ,120.37,0.1443,667.99
47,8,AAFFFZFZFFZFFZFFZFZFFF,119.87,0.1821,618.84
48,8,AAFFFSFFZFFZFFZFZFZFFFZFF,131.89,0.0081,738.18
49,8,AAFFFZFFZFFAAFZFFFZFFZFZFF,130.08,0.0033,737.86
50,8,AAFFFAAFFZFFFZFZFZFZFFFZFF,131.34,0.0049,750.40
51,8,AAFFFAAFFFZFFZFZFZFFZFFFZF,132.72,0.0092,745.25
52,8,AAFFFZFFZFZFFFSFZFFFZFZFF,130.63,0.0025,737.75
53,8,AAFFFAAFFFAAFFFZFFAAFFZFFF,128.8,0.0113,657.63
54,8,AAFFFAAFFFZFFAAFFFAAFFFZFF,129.18,0.0128,658.28
55,8,AAFFZFFFZFZFZFFFSFFZFFZFF,130.13,0.0071,738.62
56,8,AAFFFZFFZFFSFFZFFZFZFFFZF,131.34,0.0044,734.03
57,8,AAFFFZFFAAFFFZFFAAFFZFFFZF,130.63,0.0146,700.28
58,8,AAFFFZFZFFFAAFFZFFFSFFZFF,128.8,0.0094,700.89
59,8,AAFFFZFAAFFFZFFZFFAAFFZFFF,129.18,0.0085,699.79
60,8,AAFZFFFZFFZFZFFZFZFFZFFFZF,130.08,0.002,781.18
61,8,AAFFFZFFAAFFFZFZFFFSFFZFF,128.8,0.0173,701.23
62,8,AAFFFZFFZFZFZFFFZFFSFFZFF,131.89,0.0058,736.63
63,8,AAFFFZFFAAFZFFFZFFZFZFZFFF,132.29,0.0093,746.24
64,8,AAFFFZFFZFFSFFZFZFFFZFZFF,130.63,0.0021,737.21
65,8,AAFFFZFFZFZFFZFFFSFZFFFZF,129.68,0.0055,734.19
66,8,AAFFFZFZFFFZFSFFZFFZFFZFF,129.68,0.0044,737.23
67,8,AAFFFZFZFZFFFZFFAAFZFFFZFF,129.68,0.011,747.41
68,8,AAFFFAAFFFZFFZFAAFFFZFFZFF,129.68,0.0091,698.07
69,8,ACAFFFZFFZFFZFZFZFFFZFZFFF,130.83,0.0065,756.20
70,8,AAFFFZFZFFZFFZFFFSZFFFZFF,130.13,0.0052,737.42
71,8,AAFFFSFFZFFZFZFFFAAFFZFFF,129.68,0.0174,699.61
72,8,AAFFFZFZFFFZFAAFFZFFFZFZFF,130.08,0.0074,748.25
73,8,AAFFFAAFFFZFZFFFAAFZFFFZFF,129.76,0.022,707.59
74,8,AAFFFAAFFFZFZFFFSFFZFZFFF,129.76,0.0089,708.57
75,8,AAFFFAAFFFZFFSFFZFFZFZFFF,129.76,0.0094,697.06
76,8,AAFFZFFFZFZFFAAFFZFFFZFZFF,130.63,0.0019,743.08
77,8,AAFFFSFFZFFZFFAAFFFZFZFFF,129.76,0.0138,699.54
78,8,AAFFFZFZFFFSFZFFFZFZFZFFF,129.18,0.0052,744.75
79,8,AAFFFZFFZFZFFFSFFZFZFFFZF,131.34,0.0102,743.57
80,8,AAFFZFFFZFZFFZFZFZFFFZFFZF,132.29,0.004,784.92
81,8,AAFFFZFFZFZFFFAAFZFFFZFFZF,129.68,0.011,743.06
82,8,AAFFZFFFZFZFFSFFZFFZFFZFF,130.13,0.0013,728.62
83,8,AAFFFSFFZFZFFFZFZFZFFZFFF,130.63,0.0103,746.08
