,pore_number,pore_N,Canonical_STRONGs,formation_time,formation_energy
0,1,4,AAFFFZFFZFFZFFZFFF,78.229,447.73
1,2,4,FFFZFZFFFZFZFFFZFZ,78.229,505.69
2,3,4,FFFZFFZFZFFFZFFZFZ,78.229,497.06
4,5,5,AAFFFZFFZFZFFFZFZFFF,94.874,541.82
5,6,5,AAFFFZFFZFFZFZFFFZFF,94.874,533.75
6,7,5,FFFZFFZFZFFZFFFZFZFZ,94.874,583.55
7,8,6,FFZFFZFFZFFZFFZFFZ,93.917,480.9
8,9,6,AAFFFAAFFFZFFZFZFFZFFF,109.14,578.8
9,10,6,AAFFFZFZFFFZFZFZFFFZFF,107.48,627.01
10,11,6,AAFFFZFZFFFAAFFFZFZFFF,108.43,588.82
11,12,6,FFFZFFZFZFZFFFZFFZFZFZ,109.14,668.62
12,13,6,AAFFFZFFAAFFFZFFZFZFFF,108.43,579.49
14,15,6,AAFFFZFFZFFAAFFFZFFZFF,108.43,570.62
16,17,6,AAFFFZFFZFFZFZFFZFFFZF,109.14,614.93
18,19,6,AAFFZFFFZFZFFZFZFFFZFF,107.48,619.75
19,20,7,FFFZFZFFZFFZFFZFFZFZ,107.48,577.29
22,23,7,AAFFFAAFFFZFFAAFFFZFZFFF,119.87,626.33
23,24,7,AAFFFZFFZFZFFFAAFFZFFFZF,120.37,661.91
24,25,7,AAFFFZFFZFFAAFFFZFZFFFZF,120.37,662.43
26,27,7,AAFFFZFFAAFFZFFFZFZFZFFF,120.37,664.57
30,31,7,AAFFFZFFZFFAAFFZFFFZFZFF,118.91,656.87
31,32,7,FFFZFFZFZFZFFZFFFZFZFZFZ,121.62,750.5
32,33,7,AAFFFAAFFFZFFZFZFZFFFZFF,119.87,664.49
35,36,7,AAFFFZFFAAFFFZFFAAFFFZFF,118.91,618.6
36,37,7,AAFFFZFZFFFZFZFZFFZFFFZF,119.41,708.31
39,40,7,AAFFZFFFZFZFFZFZFFZFFFZF,119.41,700.56
40,41,7,AAFFFZFFZFFZFZFZFFFZFFZF,120.37,699.41
41,42,7,ACAFFFZFFZFFZFZFFZFFZFFF,121.08,661.11
42,43,8,AAFFFZFFZFZFFZFFZFFZFF,119.87,610.26
43,44,8,AAFFFZFZFFZFFFACAFFFZFFZFF,131.54,708.77
44,45,8,FFFZFZFFZFZFFFZFZFFZFZ,120.37,668.78
45,46,8,FFFZFZFFZFFZFZFFFZFZFZ,120.37,667.99
46,47,8,AAFFFZFZFFZFFZFFZFZFFF,119.87,618.84
48,49,8,AAFFFZFFZFFAAFZFFFZFFZFZFF,130.08,737.86
49,50,8,AAFFFAAFFZFFFZFZFZFZFFFZFF,131.34,750.4
50,51,8,AAFFFAAFFFZFFZFZFZFFZFFFZF,132.72,745.25
52,53,8,AAFFFAAFFFAAFFFZFFAAFFZFFF,128.8,657.63
53,54,8,AAFFFAAFFFZFFAAFFFAAFFFZFF,129.18,658.28
56,57,8,AAFFFZFFAAFFFZFFAAFFZFFFZF,130.63,700.28
58,59,8,AAFFFZFAAFFFZFFZFFAAFFZFFF,129.18,699.79
59,60,8,AAFZFFFZFFZFZFFZFZFFZFFFZF,130.08,781.18
62,63,8,AAFFFZFFAAFZFFFZFFZFZFZFFF,132.29,746.24
66,67,8,AAFFFZFZFZFFFZFFAAFZFFFZFF,129.68,747.41
67,68,8,AAFFFAAFFFZFFZFAAFFFZFFZFF,129.68,698.07
68,69,8,ACAFFFZFFZFFZFZFZFFFZFZFFF,130.83,756.2
71,72,8,AAFFFZFZFFFZFAAFFZFFFZFZFF,130.08,748.25
72,73,8,AAFFFAAFFFZFZFFFAAFZFFFZFF,129.76,707.59
75,76,8,AAFFZFFFZFZFFAAFFZFFFZFZFF,130.63,743.08
79,80,8,AAFFZFFFZFZFFZFZFZFFFZFFZF,132.29,784.92
80,81,8,AAFFFZFFZFZFFFAAFZFFFZFFZF,129.68,743.06
87,88,8,AAFFFZFZFFFZFZFZFZFFFZFFZF,130.08,792.6
89,90,8,AAFFFZFZFFFZFAAFFFZFZFFFZF,130.08,752.74
90,91,8,FFFZFFZFZFZFZFFFZFFZFZFZFZ,132.72,837.89
91,92,8,AAFFFZFFZFFZFAAFFFZFFZFFZF,132.29,727.62
92,93,8,ACAFFFZFFZFFZFZFFZFZFFFZFF,130.08,748.99
93,94,8,AAFFFZFFZFFZFZFZFFZFFFZFZF,132.29,783.96
95,96,8,AAFFAAFFFZFFZFFAAFFZFFZFFF,130.63,692.73
99,100,9,AAFFFAAFFFZFZFFZFFZFZFFF,135.18,664.82
102,103,9,AAFFFAAFFFAAFFFZFFAAFZFFFZFF,138.47,740.81
103,104,9,AAFFFZFFZFZFFZFZFFFZFZFF,131.35,704.83
104,105,9,AAFFFZFFZFZFFZFFZFZFFFZF,136.77,701.63
105,106,9,AAFFFZFFAAFFFZFZFFZFFZFF,128.8,656.8
107,108,9,AAFFFZFFZFZFZFFFZFZFFZFF,131.81,704.57
108,109,9,AAFFFZFZFFZFZFFFZFZFZFFF,131.81,712.9
109,110,9,AAFFFZFZFFFAAFFZFFZFFZFF,133.68,657.26
110,111,9,AAFFZFFFZFZFZFFZFFZFFZFF,136.77,695.43
112,113,9,AAFFFZFZFFZFFFACAFFZFFFZFZFF,140.5,797.69
113,114,9,FFFZFZFZFFFZFZFZFFFZFZFZ,137.31,760.43
114,115,9,AAFFFAAFFFZFFAAFFFAAFFZFFFZF,138.17,740.37
118,119,9,AAFFFZFZFZFFZFFFZFAAFZFFFZFF,139.38,827.39
121,122,9,AAFFFZFZFFZFFFACAFFFZFZFFFZF,139.54,801.87
124,125,9,AAFFFAAFFFZFFZFAAFFFZFZFFFZF,139.94,789.5
125,126,9,FFFZFFZFZFZFZFFZFFFZFZFZFZFZ,142.71,919.52
126,127,9,AAFFFZFFAAFFZFFZFFFACAFFFZFF,138.17,747.68
129,130,9,AAFFFZFFAAFFZFFFZFAAFFZFFFZF,138.17,782.59
132,133,9,AAFFFAAFFZFFFZFZFAAFFFZFFZFF,141.92,777.8
133,134,9,AAFFFAAFFFZFZFFFAAFZFFZFFFZF,140.67,789.26
134,135,9,AAFFFZFAAFFFZFZFFFZFAAFFZFFF,139.63,789.82
136,137,9,AAFFAAFFFZFFZFFAAFFZFZFFFZFF,139.63,779.24
140,141,9,AAFFAAFFFZFFZFFAAFZFFFZFZFFF,140.65,784.04
145,146,9,AAFFFZFAAFFFZFFZFFAAFZFFFZFF,139.13,781.41
148,149,9,ACAFFFZFZFFFZFZFZFFZFZFFFZFF,139.34,847.7
149,150,9,AAFFFZFFAAFFFZFFAAFZFFFZFFZF,139.13,775.59
150,151,9,AAFFFAAFFFZFZFFFACAFFFZFFZFF,140.03,755.98
152,153,9,AAFFFZFAAFFZFFFZFZFFAAFFZFFF,140.65,785.37
154,155,9,AAFFZFFFZFZFFZFZFZFFZFFFZFZF,141.92,869.45
155,156,9,AAFFFAAFFFZFFZFZFZFZFFFZFFZF,141.38,824.41
159,160,9,ACAFFFZFZFFFZFZFZFZFFFZFZFFF,141.75,850.31
163,164,9,AAFFFZFZFFFZFAAFZFFFZFFZFZFF,139.94,828.8
164,165,9,AAFFFZFZFZFFFZFFAAFZFFZFFFZF,141.92,828.22
167,168,9,AAFFFZFZFZFFFZFFACAFFFZFFZFF,140.34,794.83
172,173,9,AAFFFZFFZFZFFFAAFZFFZFFFZFZF,141.38,827.73
174,175,9,AAFFFZFFZFFZFAAFFFZFZFFFZFZF,141.92,827.47
176,177,9,AAFFFAAFFZFFFZFZFZFZFFZFFFZF,141.59,825.97
178,179,9,ACAFFFZFFZFFZFZFFZFZFFZFFFZF,140.67,833.33
179,180,9,AAFFFZFFACAFFFZFFZFFZFZFZFFF,140.3,800.17
186,187,9,AAFFFAAFFFZFFZFAAFFZFFFZFZFF,139.63,778.92
187,188,9,AAFAAFFFZFFZFFZFZFZFFZFFZFFF,142.35,815.34
188,189,9,AAFFFACAFFFZFFZFFZFZFZFFZFFF,141.38,795.64
194,195,9,AAFFFZFFZFZFFFACAFFFZFFZFFZF,141.75,792.1
195,196,9,AAFFFZFFZFFAAFZFFZFFFZFZFZFF,139.71,817.1
197,198,9,AAFFFZFZFFFZFZFZFZFFZFFFZFZF,142.35,877.25
199,200,9,AAFZFFFZFFZFZFFZFZFZFFFZFFZF,139.71,866.17
202,203,9,AAFFFZFFZFFZFAAFFZFFFZFZFFZF,141.92,819.41
203,204,9,AAFFFZFFAAFZFFZFFFZFZFZFZFFF,138.98,825.39
206,207,9,AAFFZFFFZFZFFAAFZFFFZFFZFZFF,138.48,824.55
210,211,9,AAFFFZFFZFFZFZFZFZFFFZFFZFZF,142.71,868.15
211,212,9,AAFFFZFFZFFACAFFFZFFZFFZFZFF,139.34,785.06
218,219,9,ACAFFZFFFZFZFFZFZFFZFZFFFZFF,140.5,835.07
219,220,10,AAFFFZFZFFFAAFFZFZFFFZFZFF,142.47,752.41
220,221,10,AAFFFZFFZFAAFFFZFFZFZFFZFF,144.22,738.45
221,222,10,AAFFFZFFZFZFZFFFZFZFZFFFZF,144.89,794.47
222,223,10,AAFFFZFZFFFAAFFZFFZFZFFFZF,140.02,747.82
224,225,10,AAFFFAAFFFAAFFFZFZFFZFZFFF,141.11,711.43
225,226,10,AAFFFAAFFFZFFAAFFZFFZFFZFF,138.67,694.06
227,228,10,AAFFFZFFZFZFZFFFAAFFFZFZFF,140.65,750.37
228,229,10,FFZFFZFFZFZFFZFFZFFZFZ,136.77,655.46
229,230,10,AAFFFZFZFZFFFAAFFFZFZFZFFF,145.84,757.31
230,231,10,AAFFFAAFFFZFZFFZFFAAFFFZFF,147.97,703.11
231,232,10,AAFFZFFFZFZFZFFFACAFFFZFFZFFZF,146.86,875.33
232,233,10,AAFFFZFFZFZFZFFZFFFAAFFZFF,144.34,741.26
235,236,10,AAFFFZFFAAFFFZFZFZFFFZFZFF,147.03,751.72
236,237,10,AAFFFAAFFFZFFAAFFFAAFZFFFZFFZF,149.18,820.78
237,238,10,AAFFZFFFZFZFZFZFFFZFZFFZFF,142.35,789.63
242,243,10,AAFFFAAFFFZFZFFFACAFFFZFZFFFZF,149.97,847.89
244,245,10,AAFFFAAFFFZFZFZFFFZFZFZFFF,143.12,759.08
246,247,10,AAFFFZFFAAFFFZFZFFZFZFFFZF,140.34,747.76
247,248,10,AAFFFAAFFFZFZFFFAAFZFZFFFZFFZF,148.59,867.88
248,249,10,AAFZFFFZFFZFZFFZFZFZFFZFFFZFZF,149.45,950.0
251,252,10,ACAFFFZFFZFZFFZFFZFZFFZFFF,142.56,748.76
252,253,10,AAFFFZFAAFFFZFFZFZFFZFZFFF,143.68,746.79
254,255,10,AAFFFZFZFFZFFZFFAAFFZFFFZF,139.63,739.23
255,256,10,AAFFFZFFZFFAAFFZFFZFFZFFZF,141.29,729.34
256,257,10,AAFFFACAFFFZFZFFFZFZFZFZFFZFFF,150.87,891.39
257,258,10,AAFFZFFZFFZFFZFZFZFFZFFFZF,145.3,776.39
259,260,10,AAFFFAAFFFAAFFFZFFAAFZFFZFFFZF,146.19,820.54
260,261,10,AAFFZFFFZFZFZFFZFZFFFZFZFF,141.51,790.34
261,262,10,AAFFAAFFFZFFZFZFFZFZFFZFFF,147.97,741.37
262,263,10,AAFFFZFFAAFZFFFZFZFFFACAFFFZFF,148.9,837.38
263,264,10,AAFFFZFFAAFFZFFFAAFFZFFZFF,142.78,694.82
265,266,10,AAFFAAFFFAAFFFZFFZFAAFFZFFZFFF,147.64,814.81
267,268,10,AAFFZFFFZFZFZFFZFFZFZFFFZF,143.52,785.84
269,270,10,AAFFFAAFFFZFFZFAAFFZFFFAAFFFZF,147.69,820.96
270,271,10,AAFFZFFFZFAAFFZFFFZFAAFFZFFFZF,147.39,858.93
271,272,10,AAFFFZFAAFFFZFZFFZFFFACAFFZFFF,148.59,837.53
274,275,10,AAFFFZFFAAFFZFFFZFAAFZFFFZFFZF,148.59,863.34
275,276,10,AAFFFZFAAFFZFFFZFZFFAAFZFFFZFF,148.85,862.05
276,277,10,FFFZFFZFZFZFZFZFFFZFFZFZFZFZFZ,151.79,1007.4
286,287,10,AAFFFZFAAFFFZFFZFFAAFZFFZFFFZF,146.74,856.58
287,288,10,AAFFFZFZFZFFZFFFZFAAFZFFZFFFZF,150.43,902.18
288,289,10,AAFFFZFFZFZFFAAFFFZFFZFZFF,141.7,742.64
290,291,10,AAFFFZFFZFZFFFACAFFFZFZFFFZFZF,149.31,885.01
291,292,10,AAFFFAAFFZFFFZFAAFFFAAFFZFFFZF,148.04,821.94
292,293,10,AAFFFZFFAAFFFZFFACAFFFZFFZFFZF,149.39,831.02
294,295,10,ACAFFFZFFZFFZFZFFZFZFZFFFZFFZF,149.45,916.34
296,297,10,AAFFFZFZFZFFFZFFACAFFFZFZFFFZF,148.72,885.77
308,309,10,AAFFFAAFFFAAFFFZFFACAFFFZFFZFF,149.39,791.97
313,314,10,AAFFFAAFFFZFFZFAAFFFAAFFFZFFZF,148.19,819.46
314,315,10,AAFFFZFAAFFZFFFAAFFFZFAAFFZFFF,147.39,821.75
315,316,10,AAFFFZFFAAFFFZFFAAFZFFZFFFZFZF,148.59,859.48
316,317,10,AAFFAAFFFZFFZFFACAFFFZFFZFZFFF,147.21,833.53
317,318,10,AAFFFZFFZFZFFFACAFFZFFFZFZFFZF,147.36,876.08
320,321,10,AAFFFZFFZFFACAFFZFFFZFZFFZFZFF,149.65,871.11
325,326,10,AAFFFZFFZFFACAFFFZFZFFFZFZFZFF,150.4,879.98
327,328,10,AAFFFAAFFZFFFZFZFAAFFFZFZFFFZF,151.49,868.99
328,329,10,AAFFFZFAAFFFZFZFFFZFAAFZFFFZFF,147.95,871.38
329,330,10,AAFFFAAFZFFFZFFZFZFZFZFFZFFFZF,150.54,912.57
330,331,10,AAFFFACAFFZFFFZFZFFZFZFZFFZFFF,149.57,879.55
334,335,10,AAFFFZFFAAFZFZFFFZFFZFZFZFZFFF,149.18,909.83
337,338,10,AAFAAFFFZFFZFFAAFFFAAFFZFFZFFF,147.89,814.12
