,index,pore_number,pore_N,Canonical_STRONGs,formation_energy
0,125,126,9,FFFZFFZFZFZFZFFZFFFZFZFZFZFZ,919.52
1,248,249,10,AAFZFFFZFFZFZFFZFZFZFFZFFFZFZF,950.0
2,272,273,10,AAFFFSFFZFZFFFZFZFZFZFFZFFFZF,912.33
3,276,277,10,FFFZFFZFZFZFZFZFFFZFFZFZFZFZFZ,1007.4
4,282,283,10,AAFFFZFFZFZFFZFFFSZFFZFFFZFZF,903.36
5,287,288,10,AAFFFZFZFZFFZFFFZFAAFZFFZFFFZF,902.18
6,294,295,10,ACAFFFZFFZFFZFZFFZFZFZFFFZFFZF,916.34
7,312,313,10,AAFFFZFZFFZFFZFFFSZFZFFFZFFZF,902.7
8,323,324,10,AAFFZFFFSFFZFFZFZFZFZFFFZFFZF,904.34
9,329,330,10,AAFFFAAFZFFFZFFZFZFZFZFFZFFFZF,912.57
10,334,335,10,AAFFFZFFAAFZFZFFFZFFZFZFZFZFFF,909.83
11,345,346,10,AAFFFZFZFFFZFAAFZFFZFFFZFZFZFF,907.97
12,370,371,10,AAFAAFFFZFFZFFZFZFZFFZFZFFFZFF,900.15
13,372,373,10,AAFFFZFZFZFFFZFFAAFZFZFFFZFFZF,907.55
14,373,374,10,AAFZFFFZFFZFZFZFFFSFFZFZFFFZF,909.55
15,376,377,10,AAFFFZFZFZFZFFFZFFZFAAFZFFFZFF,906.93
16,381,382,10,AAFFFAAFFZFFFZFZFZFZFZFFFZFFZF,910.03
17,384,385,10,AAFFFZFZFZFFFZFZFFFSZFFZFFFZF,912.96
18,385,386,10,AAFFFZFZFFFSZFFZFFFZFZFZFZFFF,914.35
19,391,392,10,ACAFFFZFZFFFZFZFZFFZFZFFZFFFZF,925.97
20,394,395,10,AAFFFAAFFFZFFZFZFZFZFFZFFFZFZF,908.48
21,399,400,10,ASFFZFZFFFZFZFZFZFFFZFZFFZFF,900.13
22,403,404,10,FFFSZFZFFFZFFZFZFZFZFFFZFZFFZ,954.6
23,407,408,10,AAFFFZFFZFFZFSFFZFFZFZFFFZFZF,903.23
24,410,411,10,AAFFFZFFZFFZFZFZFZFFZFFFZFZFZF,946.96
