pore_number,N,Canonical_STRONGs,radius,Canonical_STRONG_radius,barrier_CO2,barrier_N2,barrier_O2
4,4,AAFFFZFFZFFZFFZFFF,1.43,143AAFFFZFFZFFZFFZFFF,90.48,73.01,58.57
5,4,FFFZFFZFZFFFZFFZFZ,1.24,124FFFZFFZFZFFFZFFZFZ,82.58,61.67,51.91
6,4,FFFZFZFFFZFZFFFZFZ,1.61,162FFFZFZFFFZFZFFFZFZ,78.07,61.61,49.77
7,5,AAFFFZFFZFFZFZFFFZFF,1.43,143AAFFFZFFZFFZFZFFFZFF,78.57,54.65,49.78
8,5,AAFFFZFFZFZFFFZFZFFF,1.61,162AAFFFZFFZFZFFFZFZFFF,47.69,40.85,31.34
9,5,FFFZFFZFZFFZFFFZFZFZ,1.24,124FFFZFFZFZFFZFFFZFZFZ,75.05,55.50,47.14
10,6,AAFFFZFFZFFZFZFFZFFFZF,1.43,143AAFFFZFFZFFZFZFFZFFFZF,74.58,57.95,48.06
11,6,AAFFFZFFZFFAAFFFZFFZFF,1.43,143AAFFFZFFZFFAAFFFZFFZFF,67.14,46.85,41.63
12,6,AAFFFZFFAAFFFZFFZFZFFF,1.61,162AAFFFZFFAAFFFZFFZFZFFF,36.42,32.40,24.21
13,6,AAFFFZFZFFFZFZFZFFFZFF,1.61,162AAFFFZFZFFFZFZFZFFFZFF,42.13,36.63,27.72
14,6,AAFFZFFFZFZFFZFZFFFZFF,1.43,143AAFFZFFFZFZFFZFZFFFZFF,70.20,54.32,45.12
15,6,AAFFFAAFFFZFFZFZFFZFFF,1.61,162AAFFFAAFFFZFFZFZFFZFFF,39.48,33.42,25.71
16,6,AAFFFZFZFFFAAFFFZFZFFF,1.97,198AAFFFZFZFFFAAFFFZFZFFF,21.48,18.92,13.14
17,6,FFFZFFZFZFZFFFZFFZFZFZ,1.24,124FFFZFFZFZFZFFFZFFZFZFZ,69.66,52.81,44.53
18,6,FFZFFZFFZFFZFFZFFZ,1.76,176FFZFFZFFZFFZFFZFFZ,48.92,44.43,32.18
19,7,ACAFFFZFFZFFZFZFFZFFZFFF,1.43,143ACAFFFZFFZFFZFZFFZFFZFFF,82.44,61.29,52.58
20,7,AAFFFZFFZFFZFZFZFFFZFFZF,1.43,143AAFFFZFFZFFZFZFZFFFZFFZF,64.27,46.62,39.85
21,7,AAFFFZFFZFFAAFFFZFZFFFZF,1.61,162AAFFFZFFZFFAAFFFZFZFFFZF,46.20,38.35,30.06
22,7,AAFFFZFFZFZFFFAAFFZFFFZF,1.61,162AAFFFZFFZFZFFFAAFFZFFFZF,33.53,29.81,22.33
23,7,AAFFFZFZFFFZFZFZFFZFFFZF,1.61,162AAFFFZFZFFFZFZFZFFZFFFZF,38.35,33.75,25.40
