STRONGS of xyz file 
file_name 	 STRONGS 
pore1.xyz 	 FFZFFZFFZFFZFFFAAF 
pore10.xyz 	 FFZFZFFFAAFFZFFFZFZFZF 
pore100.xyz 	 FFZFFZFZFFFAAFFFAAFFFZFZ 
pore11.xyz 	 FFFAAFFFZFZFFFAAFFFZFZ 
pore12.xyz 	 FFFZFZFZFFZFFFZFZFZFFZ 
pore13.xyz 	 FFZFFFAAFFZFFFAAFFFZFZ 
pore14.xyz 	 FFZFFFSFZFFFZFZFFZFFZ 
pore15.xyz 	 FFZFFZFFFAAFFZFFZFFFAA 
pore16.xyz 	 FFFSFFZFZFFFZFZFFZFFZ 
pore17.xyz 	 FFZFFZFZFFZFFZFFFAAFZF 
pore18.xyz 	 FFZFZFFFZFZFFZFFFSFFZ 
pore19.xyz 	 FFZFFFZFZFFZFZFFFZFFAA 
pore2.xyz 	 FFZFZFFFZFZFFFZFZF 
pore20.xyz 	 FFFZFZFFZFFZFFZFFZFZ 
pore21.xyz 	 FFZFFZFZFFFAAFFFZFZFFFS 
pore22.xyz 	 FFFSFFZFFZFZFFZFFFAAFFZ 
pore23.xyz 	 FFZFZFFFAAFFZFFFAAFFFAAF 
pore24.xyz 	 FFZFFZFZFFFAAFFZFFFZFAAF 
pore25.xyz 	 FFFZFZFFFAAFFZFFZFFFAAFZ 
pore26.xyz 	 FFZFZFFFSFFZFFZFFAAFFFZ 
pore27.xyz 	 FFZFZFZFFFAAFFFZFFAAFFZF 
pore28.xyz 	 FFZFFZFZFFFAAFFFZFFSFFZ 
pore29.xyz 	 FFZFFSFFZFZFFFZFZFFZFZF 
pore3.xyz 	 FFZFZFFFZFFZFZFFFZ 
pore30.xyz 	 FFFSFFAAFFFZFFZFZFFZFFZ 
pore31.xyz 	 FFZFZFFAAFFFZFFZFFAAFFZF 
pore32.xyz 	 FFZFZFZFZFFFZFFZFZFZFFZF 
pore33.xyz 	 FFFZFZFZFFZFFFAAFFFAAFFZ 
pore34.xyz 	 FFZFFFSFZFFZFFFAAFFZFFZ 
pore35.xyz 	 FFZFZFFFZFZFZFFFZFFSFFZ 
pore36.xyz 	 FFZFFAAFFFZFFAAFFFZFFAAF 
pore37.xyz 	 FFFZFZFFFZFZFZFFZFFFZFAA 
pore38.xyz 	 FFZFZFFFSFFZFZFFFZFZFZF 
pore39.xyz 	 FFZFFFSZFFFZFFZFZFFZFFZ 
pore4.xyz 	 FFZFFZFFZFFZFFFSFFZ 
pore40.xyz 	 FFFZFZFFZFZFFZFFFZFAAFFZ 
pore41.xyz 	 FFZFZFZFFZFFZFFFAAFZFFZF 
pore42.xyz 	 FFZFFZFFZFZFFZFFZFFFACAF 
pore43.xyz 	 FFZFFFAAFFZFFZFFZFFZFZ 
pore44.xyz 	 FFFAAFFZFFZFFFACAFFFZFFZFZ 
pore45.xyz 	 FFZFZFFFZFZFFZFZFFFZFZ 
pore46.xyz 	 FFZFFZFZFFFZFZFZFFFZFZ 
pore47.xyz 	 FFFAAFFFZFZFFZFFZFFZFZ 
pore48.xyz 	 FFZFFAAFFFSFFZFFZFFZFZFZF 
pore49.xyz 	 FFZFFZFFAAFZFFFZFFZFZFFAAF 
pore5.xyz 	 FFFAAFFFZFFZFZFFFZFZ 
pore50.xyz 	 FFFAAFFZFFFZFZFZFZFFFZFFAA 
pore51.xyz 	 FFFAAFZFFFZFFZFZFZFFZFFFAA 
pore52.xyz 	 FFZFZFFFSFZFFFZFZFFAAFFFZ 
pore53.xyz 	 FFZFFFAAFFFAAFFFAAFFFZFFAA 
pore54.xyz 	 FFFAAFFFZFFAAFFFAAFFFZFFAA 
pore55.xyz 	 FFZFZFZFFFSFFZFFZFFAAFFZF 
pore56.xyz 	 FFFZFZFFZFFFSFZFFZFFFAAFZ 
pore57.xyz 	 FFZFFAAFFZFFFZFAAFFFZFFAAF 
pore58.xyz 	 FFZFFFSFFZFFAAFFFZFZFFFAA 
pore59.xyz 	 FFFZFAAFFFZFFZFFAAFFZFFFAA 
pore6.xyz 	 FFZFFZFZFFFZFFAAFFFZ 
pore60.xyz 	 FFZFFFZFAAFZFFFZFFZFZFFZFZ 
pore61.xyz 	 FFFAAFFZFFFAAFFZFFFSFFZFZ 
pore62.xyz 	 FFZFFFAAFFZFFFSFZFFFZFZFZ 
pore63.xyz 	 FFFZFAAFFZFFFAAFFFZFZFZFFZ 
pore64.xyz 	 FFFZFZFFAAFFFZFFZFFSFFZFZ 
pore65.xyz 	 FFFZFFSFFZFFZFZFFZFFFAAFZ 
pore66.xyz 	 FFZFFZFFFSZFFFZFZFFFAAFFZ 
pore67.xyz 	 FFFZFZFZFFFAAFFZFFFZFAAFFZ 
pore68.xyz 	 FFZFFFAAFZFFZFFFAAFFFAAFFZ 
pore69.xyz 	 FFZFFZFZFZFFFZFZFFFACAFFFZ 
pore7.xyz 	 FFZFFFZFZFZFFFZFFZFZ 
pore70.xyz 	 FFZFFAAFFFZFZFFZFFZFFFSZF 
pore71.xyz 	 FFZFFAAFFFZFZFFZFFFSFFAAF 
pore72.xyz 	 FFZFZFFFZFAAFFZFFFZFZFFAAF 
pore73.xyz 	 FFFZFZFFFAAFFFAAFFZFFFZFAA 
pore74.xyz 	 FFZFZFFFAAFFFAAFFFZFZFFFS 
pore75.xyz 	 FFZFFSFFZFFZFZFFFAAFFFAAF 
pore76.xyz 	 FFZFFFZFZFFAAFFZFFFZFZFFAA 
pore77.xyz 	 FFFAAFFZFFZFFFSFFAAFFFZFZ 
pore78.xyz 	 FFZFFSFFZFZFFFAAFFFZFZFZF 
pore79.xyz 	 FFFSFFZFZFFZFFFAAFZFFFZFZ 
pore8.xyz 	 FFZFFZFFZFFZFFZFFZ 
pore80.xyz 	 FFFZFFZFAAFFZFFFZFZFFZFZFZ 
pore81.xyz 	 FFFZFZFFZFFFAAFZFFZFFFZFAA 
pore82.xyz 	 FFZFFZFFZFFAAFFZFFFZFZFFS 
pore83.xyz 	 FFZFZFZFFZFFFAAFFFSFFZFZF 
pore84.xyz 	 FFZFFAAFFZFFFSFFZFFZFZFZF 
pore85.xyz 	 FFFZFZFZFFFAAFFFZFFSFFZFZ 
pore86.xyz 	 FFZFZFFZFFFSZFFFZFFZFZFZF 
pore87.xyz 	 FFZFFZFZFFZFFZFFFSFFSFFZ 
pore88.xyz 	 FFZFZFZFZFFFZFZFFFAAFZFFZF 
pore89.xyz 	 FFZFFZFFFSFZFFFAAFFZFFFAA 
pore9.xyz 	 FFFZFFZFZFFZFFFAAFFFAA 
pore90.xyz 	 FFZFZFFFAAFZFFFZFZFFFAAFZF 
pore91.xyz 	 FFFZFZFZFZFFZFFFZFZFZFZFFZ 
pore92.xyz 	 FFZFFZFFFAAFZFFZFFZFFFAAFZ 
pore93.xyz 	 FFZFZFFZFFZFFFACAFFZFFFZFZ 
pore94.xyz 	 FFZFZFZFFZFFZFFFAAFZFZFFFZ 
pore95.xyz 	 FFZFZFFZFZFFFZFZFFFSZFFFZ 
pore96.xyz 	 FFFZFFZFFAAFFZFFZFFFAAFFAA 
pore97.xyz 	 FFZFFZFFZFZFFZFFZFFZFFAS 
pore98.xyz 	 FFZFFZFSFFZFFZFFZFFZFZFZF 
pore99.xyz 	 FFZFZFFZFZFFFZFFSFFAAFFFZ 
