STRONGS of xyz file 
file_name 	 STRONGS 
002_1.xyz 	 ZFFZFFFZFFZFFF 
002_10.xyz 	 ZFFZFZFFFZFZFFFAAFFF 
002_11.xyz 	 ZFFZFFZFFZFFZFFFSFF 
002_12.xyz 	 ZFFAAFFAAFFFZFFFAAFFAAFFZFFF 
002_13.xyz 	 FFZFFZFFAAFFZFFFZFFAAFZF 
002_14.xyz 	 ZFFZFFZFFZFFZFFZFF 
002_15.xyz 	 FFZFFZFZFFFZFZFFZFFFS 
002_16.xyz 	 ZFFZFZFZFFFZFFZFZFZFFF 
002_17.xyz 	 ZFFAAFFZFFFZFZFFZFZFFF 
002_18.xyz 	 ZFFZFFFAAFZFFFZFFZFZFF 
002_19.xyz 	 FFFAAFFZFFFZFZFZFFFZFZ 
002_2.xyz 	 ZFFZFFFZFZFFFZFF 
002_20.xyz 	 ZFFZFZFFFZFZFFZFFZFF 
002_21.xyz 	 FFZFFZFZFFFZFZFFZFFZ 
002_22.xyz 	 ZFFAAFFZFFFZFZFZFFFAAFFF 
002_23.xyz 	 ZFZFFFSFZFFFZFZFFZFZFFF 
002_24.xyz 	 FFZFFZFZFFZFZFFFZFFAAFZF 
002_25.xyz 	 FFFAAFFZFFFZFAAFFFZFFZFZ 
002_26.xyz 	 FFFAAFFZFFFAAFFFAAFFFZFZ 
002_27.xyz 	 ZFFZFFZFZFFFAAFFFZFZFF 
002_28.xyz 	 ZFFZFFZFZFFFAAFFFZFZFF 
002_29.xyz 	 ZFZFFZFZFFFZFZFFZFZFFF 
002_3.xyz 	 FFFAAFFZFFFZFFAAFFFZ 
002_30.xyz 	 FFZFZFFFAAFFFAAFFFZFZFFFS 
002_31.xyz 	 FFFZFZFZFFFZFZFZFFFZFFSFZ 
002_32.xyz 	 FFFZFZFZFFFZFZFFZFFZFZ 
002_33.xyz 	 ZFFZFZFZFFFZFZFFZFFFSZFFF 
002_34.xyz 	 FFZFFAAFFFZFZFFFAAFFZFFFS 
002_35.xyz 	 FFZFFAAFFZFZFFFZFFAAFFZFZF 
002_36.xyz 	 ZFFZFFZFZFFZFFFSFFZFZFF 
002_37.xyz 	 FFFAAFFZFFZFFZFFAAFFFZFZ 
002_38.xyz 	 FFFAAFFZFFZFFZFFAAFFFZFZ 
002_39.xyz 	 FFFSFZFFZFFZFFZFZFFZFFZ 
002_4.xyz 	 ZFFZFFFSFFZFFFAAFFF 
002_40.xyz 	 FFAAFFFZFZFZFFFZFZFFZFZF 
002_41.xyz 	 FFFAAFFZFZFFFZFZFFZFZFFZ 
002_42.xyz 	 FFZFFFACAFFFZFZFFFAAFFFAAFFZ 
002_43.xyz 	 FFZFZFZFFFAAFFFZFZFFZFZF 
002_44.xyz 	 FFZFFAAFFZFZFFFZFFAAFFAAFFFZ 
002_45.xyz 	 FFZFZFFZFFFSFFZFZFFZFFZ 
002_46.xyz 	 ZFFZFFZFZFFZFFZFFZFZFF 
002_47.xyz 	 FFZFFAAFFZFFFSFFZFFAAFFZFFFS 
002_48.xyz 	 ZFZFFFZFZFZFFZFFZFFZFFSFF 
002_49.xyz 	 FFZFZFFAAFFFZFZFFFAAFFZFZF 
002_5.xyz 	 ZFFZFFZFFFAAFFFZFF 
002_50.xyz 	 FFAAFZFFFZFZFFZFFAAFFFZFZF 
002_51.xyz 	 FFZFFAAFFAAFFAAFFAAFFAAFFAAFFAAFFFZFFFAAFFAAFFAAFFAAFFAAFFAAFFAAFFZF 
002_52.xyz 	 FFZFFAAFFAAFFAAFFZFFFZFFAAFFAAFFAAFFZF 
002_53.xyz 	 FFZFZFZFZFZFZFZFZFZFFFZFFFSFZFZFZFZFZFZFZFZFFFZ 
002_54.xyz 	 ZFZFZFFZFZFZFFZFZFZFZFFZFFFZFZFZFAAFAAFAAFZFZFZFFFZFFZFZFZFZFF 
